Этап,Задача,План,В процессе,Выполнено
1. Подготовка,Создание структуры проекта irga_new,,,✓
1. Подготовка,Обновление документации (README description roadmap),,,✓
1. Подготовка,Настройка .env с Todoist API token,,,✓
1. Подготовка,Архивирование Irga Old,,,✓
2. Структура TaskFlowAI,Создать папку backend/,,,✓
2. Структура TaskFlowAI,Создать папку clients/,,,✓
2. Структура TaskFlowAI,Создать папку tests/,,,✓
2. Структура TaskFlowAI,Настроить requirements.txt,,,✓
2. Структура TaskFlowAI,Настроить .gitignore,,,✓
3. Todoist API Integration,Получить Todoist API token,,,✓
3. Todoist API Integration,Создать todoist/client.py,,,✓
3. Todoist API Integration,Реализовать подключение к Todoist API,,,✓
3. Todoist API Integration,Реализовать получение задач (GET),,,✓
3. Todoist API Integration,Реализовать создание задачи (POST),,,✓
3. Todoist API Integration,Реализовать обновление задачи (PUT),,,✓
3. Todoist API Integration,Реализовать удаление задачи (DELETE),,,✓
3. Todoist API Integration,Создать todoist/mapper.py,,,✓
3. Todoist API Integration,Маппинг 5 основных категорий → проекты,,,✓
3. Todoist API Integration,Маппинг 50 подкатегорий → метки,,,✓
3. Todoist API Integration,Создать todoist/crud.py,,,✓
3. Todoist API Integration,Тесты для Todoist Integration,,,✓
4. Irga Layer,Перенести ai_processor.py из Irga Old,,,✓
4. Irga Layer,Адаптировать ai_processor под новую архитектуру,,,✓
4. Irga Layer,Перенести time_scheduler.py из Irga Old,,,✓
4. Irga Layer,Создать taskflow_integration.py,,,✓
4. Irga Layer,Реализовать поиск похожих задач,,,✓
4. Irga Layer,Интеграция Irga + Todoist,,,✓
4. Irga Layer,Тестирование полного цикла,,,✓
4. Irga Layer,Тесты для Irga Layer,,,✓
5. Backend API (OpenAPI doc),Выбрать фреймворк (FastAPI),,,✓
5. Backend API (OpenAPI doc),Создать api/main.py,,,✓
5. Backend API (OpenAPI doc),Эндпоинт GET / и /health,,,✓
5. Backend API (OpenAPI doc),Эндпоинт GET /tasks,,,✓
5. Backend API (OpenAPI doc),Эндпоинт POST /tasks,,,✓
5. Backend API (OpenAPI doc),Эндпоинт POST /ai/analyze,,,✓
5. Backend API (OpenAPI doc),Эндпоинт GET /categories,,,✓
5. Backend API (OpenAPI doc),Pydantic модели для валидации,,,✓
5. Backend API (OpenAPI doc),Документация API (Swagger),,,✓
5. Backend API (OpenAPI doc),Тестирование через Swagger UI,,,✓
5. Backend API (OpenAPI doc),Интеграция с TaskFlowAI,,,✓
6. Telegram Bot создание,Создать simple_bot.py,,,✓
6. Telegram Bot создание,Создать api_client.py,,,✓
6. Telegram Bot создание,Подключить к Backend API,,,✓
6. Telegram Bot создание,Команды /start /tasks /categories /help,,,✓
6. Telegram Bot создание,ИИ-анализ через API,,,✓
6. Telegram Bot создание,Создание задач в Todoist,,,✓
6. Telegram Bot создание,Умное связывание через API,,,✓
6. Telegram Bot создание,Тестирование всех функций,,,✓
7. Web App,Выбрать фреймворк (React/Vue),✓,,
7. Web App,Дизайн UI (похож на Todoist),✓,,
7. Web App,Страница авторизации,✓,,
7. Web App,Страница списка задач,✓,,
7. Web App,Страница проектов,✓,,
7. Web App,Форма добавления задачи,✓,,
7. Web App,ИИ-анализ в форме,✓,,
7. Web App,Умное связывание в UI,✓,,
7. Web App,Проактивные уведомления,✓,,
7. Web App,PWA (работает как приложение),✓,,
7. Web App,Деплой (Vercel/Netlify),✓,,
8. Mobile App,Выбрать технологию (React Native/Flutter/PWA),✓,,
8. Mobile App,Дизайн мобильного UI,✓,,
8. Mobile App,Экран авторизации,✓,,
8. Mobile App,Экран списка задач,✓,,
8. Mobile App,Экран добавления задачи,✓,,
8. Mobile App,Push-уведомления,✓,,
8. Mobile App,Публикация в App Store/Google Play,✓,,
9. Browser Extension,Выбрать браузеры (Chrome/Firefox),✓,,
9. Browser Extension,Popup для добавления задачи,✓,,
9. Browser Extension,Горячая клавиша (Ctrl+Shift+A),✓,,
9. Browser Extension,ИИ-анализ в расширении,✓,,
9. Browser Extension,Публикация в Chrome Web Store,✓,,
9. Browser Extension,Публикация в Firefox Add-ons,✓,,
10. Авторизация в TaskFlowAI: MVP,Создать БД для хранения токенов,,,✓
10. Авторизация в TaskFlowAI: MVP,Команда /auth для ввода токена,,,✓
10. Авторизация в TaskFlowAI: MVP,Валидация токена (минимум 40 символов),,,✓
10. Авторизация в TaskFlowAI: MVP,Сохранение telegram_user_id → todoist_token,,,✓
10. Авторизация в TaskFlowAI: MVP,Изоляция данных между пользователями,,,✓
10. Авторизация в TaskFlowAI: MVP,Команда /logout для выхода,,,✓
10. Авторизация в TaskFlowAI: MVP,Фильтр кнопок меню при вводе токена,,,✓
10. Авторизация в TaskFlowAI: MVP,Команды в меню бота (/tasks /categories /help),,,✓
10. Авторизация в TaskFlowAI: MVP,Кнопка Помощь связана с /help,,,✓
10. Авторизация в TaskFlowAI: MVP,Тестирование с несколькими пользователями,,,✓
11. Умный чат: Понимание вопросов,"Убрать тупой ответ ""Это вопрос!""",,,✓
11. Умный чат: Понимание вопросов,Распознавание паттернов вопросов,,,✓
11. Умный чат: Понимание вопросов,Что на сегодня? → показать задачи,,,✓
11. Умный чат: Понимание вопросов,Что по здоровью? → фильтр по категории (заглушка),,,✓
11. Умный чат: Понимание вопросов,Как дела с деньгами? → фильтр (заглушка),,,✓
12. Умный чат: Дружелюбность,Персонализированные ответы,,,✓
12. Умный чат: Дружелюбность,Эмодзи и форматирование,,,✓
12. Умный чат: Дружелюбность,Мотивирующие сообщения,,,✓
12. Умный чат: Дружелюбность,Приветствие по времени суток,,,✓
12. Умный чат: Дружелюбность,Случайные варианты ответов,,,✓
13. Умный чат: Контекст,Фильтрация задач по категориям в API,,,✓
